menu_start_game_0|Welcome to Viking Conquest.
menu_start_phase_2|{s1}
mno_continue|Kontynuuj...
mno_continue_cheat|Omiń Samouczek.
mno_go_back_dot|Wróć.
menu_start_game_3|Wybierz scenariusz:
mno_go_back|Wróć
menu_tutorial|Zbliżasz sie do pola gdzie miejscowi szkolą się we władaniu bronią. Możesz tu poćwiczyć aby poprawić swoje umiejętności w tym zakresie.
menu_reports|Reputacja postaci: {reg5}^Wskaźnik honoru: {reg6}^Morale oddziału: {reg8}^Limit wielkości oddziału: {reg7}^
mno_resume_travelling|Kontynuuj podróż.
menu_start_phase_2x|Powrót
menu_start_phase_22|{s1}
mno_town_4|Kontynuuj...
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|Bitwa została zakończona. {s1} Twoje wojska zabiły podczas niej {reg5} wrogów i straciły {reg6}ludzi. Z twojej ręki zginęło {reg7} ludzi w walce.
menu_start_game_2|Witamy w Viking Conquest.
menu_start_game_1|Witamy w Viking Conquest.
menu_start_game_11|Wyjdź
menu_start_game_4|Musisz dokonać pewnych wyborów. Nie będziesz w stanie zmienić ich później po uruchomieniu gry. Czy chciałbyś, je zostawić i kontynuować?
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Rozbijasz obóz. Co chcesz zrobić?
mno_camp_action|Wybierz działania...
mno_camp_wait_here|Odpocznij przez jakis czas.
menu_camp_action_rest|Camping allows your men to rest for a while and recover from the hard life of travels. It also allows you to forage, increasing your food supplies. This is particularly helpful when campaigning in enemy territory, where it is difficult to buy supplies.
menu_build_refuge_new|Your men await your orders to start building the refuge. There is enough material collected so far, and what may be missing can be purchased in nearby villages.^^Total Cost: 1000 penings.^Time need: 6 hours.
mno_refuge_here|So order.
menu_camp_cheat|Wybierz Oszustwo:
mno_camp_cheat_find_item|Znajdź przedmioty
